序号,单词,释义
4651,standard,n.标准规格adj.标准的规范的普通的
4652,standpoint,n.立场观点
4653,star,n.星恒星明星v.以星状物装饰变成演员
4654,stare,vi.盯凝视vt.显眼(毛发)竖立n.凝视
4655,start,vi.跳起出发开始起身vt.开始使震惊n.起点震动领先优势起推动作用的外力
4656,startle,vt.使大吃一惊 n.吃惊
4657,starve,vi.饿死挨饿受饿vt.使饿死使挨饿
4658,state,n.状态国家州情形adj.国家的州的正式的vt.说说明阐明陈述声明规定
4659,statement,n.陈述声明
4660,statesman,n.政治家国务活动家
4661,static,adj.静的静态的静力的静止的静电的n.静电静电干扰(猛烈的)反对或抨击
4662,station,n.站台所局车站位置地位vt.安置驻扎配置
4663,stationary,"a.固定的,静止不动的"
4664,statistical,adj.统计的统计学的
4665,statistics,n.统计，统计数字
4666,statue,n.塑像雕像铸像
4667,status,n.地位身分情形状况
4668,stay,vi.停留逗留住n.逗留停留支撑物倚赖的人或事
4669,steadily,adv.稳定地不变地稳固地坚定地
4670,steady,adj.稳固的稳定的坚定的vt.使稳定使稳固(变得)稳固adv.平稳地稳固地n.固定的事物
4671,steal,vt.偷窍取n.偷窃便宜货(欺诈的)政治交易
4672,steam,n.蒸汽水蒸气vi.蒸发蒸冒热气vt.蒸
4673,steamer,n.轮船汽船蒸笼
4674,steel,n.钢钢铁钢制品vt.使...硬如钢使坚强使下定决心adj.钢的
4675,steep,adj.险峻的陡峭的(价格)过高的n.陡坡n.浸泡浸泡液v.浸泡沉浸
4676,steer,vt.&vi.驾驶掌舵引导操纵n.(食用的)公牛暗示
4677,stem,n.茎(树)干柄船首vi.起源vt.抽去...的梗给...装柄逆...而行n.血统，词干v.堵住阻止
4678,step,n.(脚)步步骤步伐踏级vi.走vt.踏以步测量
4679,stereo,n.立体声 a.立体声的
4680,stereotype,"n.陈腔滥调,老套"
4681,stern,adj.严厉的坚定的坚决的苛刻的n.尾部船尾
4682,steward,n.乘务员服务员v.做乘务员管理
4683,stewardess,n.空中小姐女乘务员女管家
4684,stick,n.棍棒枝杆手杖vt.刺粘贴插于刺入竖起vi.钉住粘贴坚持
4685,sticky,adj.粘性的胶粘的闷热的困难的令人不满意的
4686,stiff,adj.硬的僵直的生硬的拘谨的不灵活的adv.僵硬地极其n.死尸过于拘谨的人流浪汉吝啬鬼醉鬼vt.诈骗失信不给小费
4687,stiffen,vt.使硬使僵硬变为浓粘
4688,still,adj.静止的不动的静寂的n.寂静沉默定格照酒厂adv.仍然更静止地conj.然而但是vi.变沉默vt.使冷静抓住使停止使放松
4689,stimulate,vt.刺激激励激发鼓舞vi.起刺激作用
4690,stimulus,"n. 刺激,激励,刺激品"
4691,sting,vt.刺刺痛使苦恼欺诈vi.刺叮刺痛n.刺痛刺讽刺
4692,stir,"vt.动拨动激动惹起搅和vi.挪动活动离开搅拌激动n.感动(激动愤怒或震动), 搅拌骚乱"
4693,stitch,n.一针针脚疼痛碎布条vt.缝缝合
4694,stock,n.原料库存品存货股本股份储备树干血统家畜adj.存货的平凡的惯用的股票的畜牧的vt.进货采购储存供给vi.出新芽进货
4695,stocking,n.长(统)袜
4696,stomach,n.胃胃口肚子食欲vt.忍受容忍
4697,stone,n.石石头石块石料(水果的)硬核宝石英石(重量单位合14磅)vt.向...扔石头去掉(水果的)核adj.石的石制的adv.(用于复合词)全然地
4698,stony,adj.多石的石头的石质的冷酷的铁石心肠的<古>石造的
4699,stool,n.凳子搁脚凳便桶根株vi.引诱
4700,stoop,vi.俯身弯下弯下上身屈服n.弯腰佝偻屈服
4701,stop,vt.塞住阻止停止停留n.停止车站逗留
4702,storage,n.贮藏贮藏量存储保管保管费仓库
4703,store,n.贮藏贮存品商店仓库vt.储存贮藏供给保存(在计算机里)存贮记忆adj.储备的
4704,storey,n.(层)楼=story(美)
4705,storm,n.风暴暴(风)雨v.猛攻捣毁起风暴暴怒
4706,stormy,adj.有暴风雨的激烈的粗暴的
4707,story,n.故事小说传说叙述新闻报道楼层(=storey)vt.以历史事件为图案装饰
4708,stove,n.炉子火炉电炉火炉窑烘房【主英】温室
4709,straight,adj.直的正直的准的坦率的连续的异性恋的adv.直直接笔直地平正了坦率的连续不断地n.直的东西传统的人
4710,straightforward,a.老实的 ad.坦率地
4711,strain,vt.拉紧劳累过份使用vi.尽力n.紧张拉紧血统
4712,strange,adj.陌生的奇怪的adv.奇怪地
4713,stranger,n.陌生人新来者外地人新手
4714,strap,n.带子皮带vt.(用带)捆扎(用带)打
4715,strategic,"a. 战略的,战略上的"
4716,strategy,n.战略策略
4717,straw,n.稻草麦杆吸管adj.用稻草做的用来作稻草的麦杆色的无价值的象稻草人的非正式民意测验所发现的
4718,strawberry,n.草莓 
4719,stream,n.河(人车气)流水流组vi. &vt.流流出飘动接踵而来
4720,streamline,n.流线；流线型
4721,street,n.街街道行车道adj.街道的
4722,strength,n.力力量力气长处强度
4723,strengthen,vt.加强变坚固巩固
4724,stress,n.压力紧张重音负载vt.着重强调vi.强调着重
4725,stretch,vt.伸展张开vi.伸延伸n.伸展张开adj.可伸缩的
4726,strict,adj.严格的严谨的精确的完全的
4727,strictly,adv.严格地严谨地
4728,stride,vi.大踏步走 n.大步
4729,strike,vt. &vi.打击撞罢工划燃n.罢工打击殴打
4730,striking,a.显著的，惊人的
4731,string,n.线细绳一串字串vt.串起成串收紧悬挂系扎vi.给...装弦adj.线的
4732,strip,vt.剥夺剥去夺去脱衣n.条带长条条状脱衣舞
4733,stripe,n.条纹条子条纹布军士军阶种类鞭打抽打vt.使...带有条纹
4734,strive,vi.努力，奋斗，力求
4735,stroke,n.打击鸣声中风笔画连续的动作心跳抚摩捋vt.奉承轻抚摩捋vi.击打心跳...
4736,strong,adj.强壮的强烈的坚强的浓的擅长的
4737,strongly,adv.强壮地强烈地强有力地坚固地坚强地激烈地
4738,structural,adj.结构的构造的建筑的建筑用的
4739,structure,n.结构构造建筑物vt.建造构造
4740,struggle,n. &vi.斗争挣扎竞争奋斗
4741,stubborn,a.顽固的；顽强的
4742,student,n.学生研究生学者
4743,studio,n.工作室；播音室
4744,study,n.学习研究学科沉思书房vt.学读书计划研究记忆调查vi.学习研究沉思
4745,stuff,n.材料原料东西素质本质废物vt.装填塞填满塞满
4746,stumble,vi.绊倒犯错失策踌躇无意中发现vt.绊倒困惑n.绊倒失策
4747,stupid,adj.愚蠢的感觉迟钝的笨拙的n.傻瓜
4748,sturdy,a.坚定的；牢固的
4749,style,n.风格文体式样时尚类型vt.称呼设计
4750,subject,"n.题目学科,主语主题话题题材主观(君主国)国民实验对象adj.服从的易患的vt.使隶属使服从使遭遇"
4751,subjective,"a. 主观的,个人的"
4752,submarine,adj.水下的海底的n.潜水艇vt.用潜艇袭击vi.滑入...底下
4753,submerge,vt.使浸没潜入水中覆盖vi.潜入水中浸没
4754,submit,vt.使服从屈服呈送递交主张vi.服从屈从忍受
4755,subordinate,a.下级的，辅助的
4756,subscribe,vi.订购，认购；预订
4757,subsequent,adj.随后的后来的
4758,subsidiary,a.辅助的，补充的
4759,subsidy,"n. 补助金,津贴"
4760,substance,n.物质实质本旨内容重要性财产
4761,substantial,adj.物质的坚固的实质的可观的大量的n.重要部份本质
4762,substitute,n.代替人代用品vt.用...代替代以代替
4763,subtle,a.微妙的；精巧的
4764,subtract,vt.减减去去掉扣掉vi.减少
4765,suburb,n.郊区郊外近郊
4766,subway,n.地道地下铁路
4767,succeed,vt.继...之后vi.成功成功继承接着发生
4768,success,n.成功成就胜利发财成功者成功的事物
4769,successful,adj.成功的结果良好的圆满的
4770,successfully,advS.成功地
4771,succession,n.连续继任继位继承继承权
4772,successive,adj.连续的接连的接二连三的
4773,successor,n.继承人，继任者
4774,such,adj.这样的如此的pron.这样的人或事adv.如此地
4775,suck,vt.吸吮啜吸收吸入vi.吸吸收奉承<俚>烂令人讨厌n.吸吮吸力
4776,sudden,adj.突然的意外的快速的出乎意料的n.突发之事
4777,suddenly,adv.突然地
4778,sue,"vt. 控告,请愿"
4779,suffer,vt.遭受忍受容许允vi.受苦患病受损失
4780,suffice,vi.足够；有能力
4781,sufficient,adj.足够的充分的
4782,sufficiently,adv.足够地充分地
4783,sugar,n.糖vt.使甜使具有吸引力vi.形成糖状变成颗粒状造枫糖浆
4784,suggest,vt.建议暗示启发要求
4785,suggestion,n.建议意见暗示迹象联想
4786,suicide,n.&vi.&vt.自杀
4787,suit,n.起拆诉讼请求套装vt.适合取悦满足
4788,suitable,adj.合适的适宜的adv.<古>合适地恰当地
4789,suitcase,n.小提箱，衣箱
4790,sulphur,n.硫(磺)硫黄
4791,sum,n.总数金额顶点概略一笔钱vi.共计总计概括
4792,summarize,vt.概括概述总结摘要而言
4793,summary,n.摘要概要一览adj.概要的简略的
4794,summer,n.夏夏季adj.夏季的v.度过夏天
4795,summit,n.顶点，最高点；极度
4796,summon,vt.召唤；鼓起(勇气)
4797,sun,n.太阳日阳光中心人物像太阳般的东西v.晒太阳
4798,Sunday,n.星期日礼拜日adj.星期日的
4799,sunlight,n.日光阳光
4800,sunny,adj.阳光充足的睛朗的明媚的快活的
4801,sunrise,n.日出(时分) 
4802,sunset,n.日落(时分)衰落时期(尤指人的晚年)
4803,sunshine,n.(直射)日光阳光
4804,super,adj.极好的超级的n.主管人负责人警务长adv.特别格外
4805,superb,a.壮丽的；超等的
4806,superficial,adj.表面的肤浅的
4807,superior,adj.较高的优越的上层的上好的出众的高傲的n.上级高手上标
4808,superiority,n.优越(性)，优势
4809,supermarket,n.超级市场
4810,supersonic,a.超声的，超声速的
4811,supervise,vt.&vi.监督，监视
4812,supper,n.晚饭晚餐晚餐会
4813,supplement,n.补充物补充增刊增补vt.补充增补
4814,supplementary,"a.补足,补充,追加的"
4815,supply,n.补给供给供应贮备vt.补给供给提供提供足够以满足
4816,support,vt.支撑支持供养帮助n.支持援助供养
4817,suppose,vt.猜想假定让以为认为应该获准(be suppose to)让(虚拟语气)vi.推测
4818,suppress,vt.镇压；抑制；隐瞒
4819,supreme,adj.最高的最大的至上的极度的
4820,sure,adj.确信的确实的肯定的adv.当然确实地无疑地
4821,surely,adv.确实稳当地安全地
4822,surface,n.地面表面外表平面adj.表面的肤浅的vt.在...上加表层使...成平面vi.浮到水面披露出来在表面工作
4823,surge,"n.vt. 激增,奔放,汹涌,澎湃"
4824,surgeon,n.外科医师；军医
4825,surgery,n.外科外科手术诊所
4826,surname,n.姓vt.冠姓
4827,surpass,vt.超过，超越，胜过
4828,surplus,n.过剩，剩余(物资)
4829,surprise,vt.使惊奇使诧异奇袭突然袭击n.惊奇诧异惊讶突然袭击
4830,surprising,adj.惊人的出人意外的令人惊讶的动词surprise的现在分词
4831,surprisingly,adv.惊人地(意外地)
4832,surrender,v.交出让与投降屈服n.投降屈服放弃
4833,surround,vt.围围绕圈住包围环绕n.环绕物
4834,surroundings,n.周围的事物环境名词surrounding的复数形式
4835,survey,vt.俯瞰检查调查测量勘定纵览环视n.调查纵览视察测量
4836,survival,n.幸存，残存；幸存者
4837,survive,vt.幸免于比...活得长艰难度过vi.活下来活着继续存在
4838,susceptible,"a. 易受影响的,易感动的"
4839,suspect,vt.怀疑猜想vi.疑心猜想n.嫌疑犯adj.令人怀疑的不可信的
4840,suspend,vt.吊推迟悬挂暂停取消vi.悬挂中止停止偿付债务
4841,suspension,"n. 悬挂,暂停,中止"
4842,suspicion,n.怀疑疑心猜疑
4843,suspicious,a.可疑的；猜疑的
4844,sustain,vt.支撑支持供养忍受承受经受维持认可
4845,swallow,n.燕子吞咽一次吞咽的量vt.吞下咽下忍受不流露感情收回vi.咽口水忍气吞声吞下咽下
4846,swamp,n.沼泽沼泽地湿地v.淹没陷于沼泽
4847,swan,n.天鹅vi.闲荡游荡
4848,swarm,n.一大群蜂窝vi.密集云集充满
4849,sway,vt.& vi.摇摆摇动支配影响n.摇摆动摇支配
4850,swear,vt.宣(誓)发誓vi.诅咒n.宣誓誓言
4851,sweat,n.汗汗水(凝结在物体表面的)水珠焦急繁重工作vi.出汗渗出焦躁辛苦工作vt.(使)出汗使渗出榨取逼问使焦虑
4852,sweater,n.厚运动衫毛线衫毛衣出汗者
4853,sweep,vt.扫扫过扫除拂去刮起掠过席卷扫视全胜vi.打扫席卷昂首阔步地走连绵全胜n.扫除席卷搜寻挥动范围风帆(竞赛中)全胜连绵一片赌金
4854,sweet,adj.甜的愉快的可爱的n.糖甜食adv.甜蜜地
4855,swell,vi.膨胀隆起增长vt.(使)膨胀(使)鼓起(使)增长n.膨胀肿胀增大衣着时髦的人风头人物adj.<口>很棒的一流的时髦的
4856,swift,adj.快的反应快的迅速的n.雨燕线轴n.斯威夫特(人名)adv.快速地
4857,swim,vi.游游泳眼花n.游泳
4858,swing,vi.摇摆回转旋转动摇n.摇摆改变冲力
4859,Swiss,adj.瑞士的n.瑞士人
4860,switch,n.开关转换鞭子vt.转换改变交换鞭打n.(女用)假发
4861,sword,n.剑刀
4862,symbol,n.象征符号记号标志
4863,symmetry,n.对称(性)，匀称
4864,sympathetic,adj.同情的和谐的共鸣的n.交感神经
4865,sympathize,vi.同情同感共鸣
4866,sympathy,n.同情同情心一致同感赞同慰问
4867,symphony,n.交响乐；交响乐团
4868,symposium,n.酒会；座谈会
4869,symptom,n.症状，征候，征兆
4870,synthesis,n.合成；综合，综合物
4871,synthetic,adj.综合的合成的人造的n.人工制品
4872,system,n.系统体系制度
4873,systematic(al),adj.有系统的有条理的有计划的分类的体系的
4874,table,n.桌子台子餐桌表格项目表vt.将...放于桌上提交讨论搁置列入表中adj.桌子的
4875,tablet,n.碑，匾；药片
4876,tackle,vt.解决，对付 n.用具
4877,tactics,n.策略；战术，兵法
4878,tag,n.附加语附属物名称谚语标签vt.附以签条尾随添饰指责连接vi.紧随尾随
4879,tail,n.尾巴尾部后部辫子跟随者(复)tails：燕尾服(硬币的)反面vt.跟踪盯...的梢为...装尾巴vi.尾随附于其后逐渐减少n.限嗣继承adj.限嗣继承的
4880,tailor,n.裁缝vt.裁制衣服剪裁vi.做裁缝
4881,take,vt.拿抓吃拿走取修(课程)花费记录认为搭乘n.拿取取得物
4882,tale,n.故事传说叙述谎话总计
4883,talent,n.天才才能人才天资
4884,talk,vi.讲话说vt.谈论商讨n.谈话会谈讲话讨论
4885,tall,adj.高的身材高的难以置信的难以办成的夸大的adv.夸大地
4886,tame,adj.驯服的顺从的柔顺的乏味的vt.驯养使...驯服vi.变得驯服
4887,tan,n.棕褐色黝黑adj.棕黄色的棕褐色的v.晒黑鞣(革)使晒成棕褐色
4888,tangle,vt.使缠结，使纠缠
4889,tank,n.坦克大容器槽箱罐贮水池vt.把...储于槽中
4890,tap,n.龙头塞子窃听轻拍轻敲鞋掌vi.轻拍轻击补鞋掌选择vt.装龙头窃听利用开发
4891,tape,"n.线带磁带录音带磁带胶布v.(用带子)捆录音adj.录音的, 用来录音的"
4892,tar,n.柏油，焦油
4893,target,n.靶标的目标对象vt.把...作为目标瞄准
4894,tariff,"n.关税,价格表,收费表 vt. 课以关税"
4895,task,n.任务工作作业vt.交给某人(任务)
4896,taste,vt.尝尝到品尝尝试有...味道的n.味觉味道品味尝试
4897,tax,n.税税款负担重负vt.课税使...负重荷斥责
4898,taxi,n.出租汽车v.用出租车运送乘计程车(飞机)滑行
4899,tea,n.茶茶叶茶树茶点
4900,teach,vt.讲教育教教书教导教训vi.给予指导
4901,teacher,n.教师老师先生
4902,teaching,n.教学教义讲授教导adj.教学的动词teach的现在分词
4903,team,n.队组vt.协同工作vi.结成一队adj.团队的
4904,tear,n.眼泪泪珠(撕破的)洞或裂缝撕扯vt.撕掉撕开撕裂扯下扰乱vi.流泪撕破
4905,tease,vt.逗乐，戏弄；强求
4906,technical,adj.技术的工艺的
4907,technician,n.技术员技师
4908,technique,n.技术技巧技能
4909,technology,n.工艺学工艺技术
4910,tedious,adj.冗长乏味的单调乏味的沉闷的
4911,teenager,n.青少年13岁到19岁的年轻人
4912,telegram,n.电报vt.向...发电报
4913,telegraph,n.电报机电报vt.打电报显示
4914,telephone,n.电话vi.打电话
4915,telescope,n.望远镜v.缩短压缩
4916,television,n.电视电视机电视节目电视行业
4917,tell,vt.讲述吩咐辨别告诉vi.讲述告诉产生效果告发
4918,temper,n.调剂韧度回火度心情情绪脾气性情vt.使缓和调和vt.使回火
4919,temperament,"n. 气质,性质,性情"
4920,temperature,n.温度体温气温发烧
4921,temple,n.圣堂神殿庙宇寺院
4922,tempo,"n. 拍子,速率,节奏"
4923,temporary,adj.暂时的n.临时工
4924,tempt,vt.引诱诱惑吸引勾引
4925,temptation,n.诱惑引诱
4926,ten,num.十十个
4927,tenant,n.承担人房客佃户占用者vt.租借租赁
4928,tend,vt.照管照料护理趋向易于走向倾向
4929,tendency,n.趋向趋势倾向
4930,tender,adj.嫩的脆弱的温柔的亲切的敏感的未成熟的痛的(船)易倾斜的v.提供投标(使)变柔软n.提出投标支付偿还照管人补给船煤水车
4931,tennis,n.网球网球运动
4932,tense,n.(动词)时态时adj.拉紧的绷紧的紧张的v.使紧绷拉紧
4933,tent,n.帐篷v.住帐篷宿营
4934,tentative,"n.试验,假设a.试验性,暂时的"
4935,tenth,num.第十十分之一n.第十十分之一
4936,term,n.期学期条件词术语名词期限条款vt.把...称为
4937,terminal,adj.末端的终点的晚期的(每)学期的n.末端终端机终点终点站
4938,terminate,vt.&vi.停止，终止
4939,terrace,n.平台，阳台，露台
4940,terrain,"n. 地带,地域,范围,领域"
4941,terrible,adj.可怕的极度的糟糕的
4942,terrific,adj.可怕的极大的极好的非常的
4943,terrify,vt.使恐怖，使惊吓
4944,territory,n.领土版图领域范围
4945,terror,n.恐怖惊骇<口>令人惧怕或讨厌的人或事物
4946,test,n.测试试验考验vt.测试试验接受测验adj.测试的
4947,testify,v.证明，证实，作证
4948,testimony,"n. 证言,证据,声明"
4949,text,n.原文本文课文正文v.发短信
4950,textbook,n.课本教科书
4951,textile,n.纺织品adj.纺织的
4952,texture,n. 质地，纹理
4953,than,conj.(比较级)比prep.比(用于两者之间的比较)
4954,thank,vt.谢谢感谢n.感谢谢意
4955,thanksgiving,n.感恩节
4956,that,adj.如此的上文提到的特定的pron.那adv.那样非常conj.引导从句
4957,the,art.(定冠词)这那这些那些adv.(用于比较级前)更加(用于形容词、副词比较级前)越...越...
4958,theatre,n.戏院戏剧教室=theater 
4959,theft,n.盗窃，偷窃(行为)
4960,their,pron.他(她、它)们的adj.他们的她们的它们的
4961,theirs,pron.他(她)们的东西
4962,them,pron.(宾格)他(她、它)们
4963,theme,n.题目；词干；主旋律
4964,themselves,pron.他(她、它)们自己
4965,then,adv.当时然后那么而且adj.当时的n.当时
4966,theoretical,adj.理论(上)的
4967,theory,n.理论原理学说意见
4968,therapy,n. 治疗
4969,there,adv.在那里在那点上从那里到那里n.那一点那个地方pron.表示存在(与be连用)
4970,thereafter,ad.此后，以后
4971,thereby,adv.因此从而由此
4972,therefore,adv.因此所以
4973,thermal,a.热的；温泉的
4974,thermometer,n.温度计寒暑表
4975,these,adj. &pron.这些
4976,thesis,n.论题，论点；论文
4977,they,pron.(主格)他(她)们
4978,thick,adj.厚的粗的密的浓adv.厚浓密n.密集处最厚处
4979,thickness,n.厚(度)密(度)一层含混不清
4980,thief,n.窃贼偷窃犯小偷
4981,thin,adj.薄的淡的稀的vi.变薄变瘦adv.薄薄地稀疏地
4982,thing,n.物用品事情况(复)things：所有物财产用品
4983,think,vt.想想要认为考虑记起n.想
4984,third,num.第三三分之一adj.第三的三分之一的
4985,thirdly,adv.第三
4986,thirst,n.渴口渴渴望vi.(for)渴望渴求
4987,thirsty,adj.口渴的渴望的
4988,thirteen,num.十三十三个
4989,thirty,num.三十三十个
4990,this,adj.这今pron.这这个adv.这么这样
4991,thorn,n.刺，棘；荆棘；蒺藜
4992,thorough,adj.彻底的详尽的完全的精心的
4993,those,pron.那些adj.那些
4994,though,conj.虽然尽管adv.可是然而不过
4995,thought,n.思想思维想法观念意向动词think的过去式和过去分词
4996,thoughtful,adj.沉思的体贴的
4997,thousand,num.千千个n.无数千(复)thousands：成千上万许许多多
4998,thread,n.线细丝螺纹头绪线索思路vt.穿线于穿过遍布vi.小心地通过蜿蜒前进滴下成丝状
4999,threat,n.威胁恐吓凶兆vt.威胁恐吓
5000,threaten,vt. &vi.威胁恐吓
5001,three,num.三三个pron. & adj.三(个只...)
5002,threshold,n.门槛；入门，开端
5003,thrill,n.一阵激动震颤激动v.(使)震颤兴奋激动
5004,thrive,vi.兴旺繁荣旺盛茁壮成长
5005,throat,n.咽喉喉咙嗓音vt.低语压着嗓子说(唱)
5006,throne,n.宝座御座王位君主
5007,throng,n.群人群群众一大群大量vt.挤满群集挤压adj.拥挤的忙的
5008,through,prep.经过穿过凭借adv.从头到尾穿越完全adj.完成的完结的贯穿的直通的
5009,throughout,prep.遍及贯穿adv.到处自始至终
5010,throw,vt.投掷抛扔n.投掷抛
5011,thrust,vt.插刺推挤n.插讽刺推力刺力推
5012,thumb,n.(大)拇指v.翻阅示意要求搭车
5013,thunder,n.雷雷声vi.打雷轰隆地响vt.吼出大声喊出
5014,Thursday,n.星期四
5015,thus,adv.如此这样因而因此从而
5016,ti:θ,
5017,tick,n.滴答声记号勾号虱类扁虱被套枕套褥套条纹厚棉布<英>赊账赊欠vt.给...标记号vi.滴答作响运作
5018,ticket,n.票券标签罚款单纲领传票vt.加标签于售票
5019,tide,n.潮潮汐潮流潮水趋势
5020,tidy,"adj.整洁的整齐的<口>相当大的vt.使整洁整理vi.整理收拾n.(沙发,椅子等的)背罩装杂物的容器"
5021,tie,n.领带结束缚不分胜负联系vt.系约束捆绑vi.打结连结
5022,tiger,n.老虎凶残之人
5023,tight,adj.紧的紧身的严厉的密集的拮据的adv.紧紧地牢固地迅速地
5024,tile,n.瓦片，瓷砖；贴砖
5025,till,prep.& conj.直到...为止vt.耕作n.放钱的抽屉冰碛
5026,tilt,vt.&vi.(使)倾斜
5027,timber,n.木材，木料
5028,time,n.时间时机次数回倍vt.为...安排时间计时定时乘adj.根据时间的时间上的
5029,timely,a.及时的；适时的
5030,timetable,n.时间表时刻表课程表
5031,timid,a.胆怯的；羞怯的
5032,tin,n.锡罐头听头adj.锡制的vt.镀锡于
5033,tiny,adj.微小的极小的
5034,tip,n.梢末端尖尖端小费提示轻击翻倒倾斜vi.给小费装顶端去掉...的顶部倾斜翻倒vt.轻击
5035,tire,vi.疲劳累厌倦vt.使疲倦厌烦n.轮胎金属圈
5036,tired,adj.疲劳的疲倦的累的厌倦的装备以轮胎的动词tire的过去式和过去分词形式
5037,tissue,n.薄绢薄纸(生物的)组织织物纸巾
5038,title,n.标题题目称号头衔称号vt.予称号加标题于adj.标题的 
5039,to,prep.(表示方向)到向达到(表示间接关系)给离对于为了adv.(表示方向)去(门)关上
5040,toast,n.烤面包吐司祝酒祝酒词被祝酒的人vt.烘烤vi. (为... )祝酒
5041,tobacco,n.烟草烟叶
5042,today,adv.在今天现在当今n.今天当今adj.现在的
5043,toe,n.脚趾足尖vt.趾触趾踢vi.踮着脚尖走
5044,together,adv.共同一起adj.妥当的镇定的
5045,toilet,n.厕所盥洗室浴室梳洗打扮礼服创口洗涤v.打扮使用厕所
5046,token,n.象征；辅币；纪念品
5047,tolerance,n.忍受容忍忍耐力宽容公差
5048,tolerant,a.容忍的；有耐力的
5049,tolerate,vt.忍受容忍宽恕
5050,tomato,n.番茄西红柿
5051,tomb,n.坟冢vt.埋葬
5052,tomorrow,adv.在明天n.明天将来
5053,ton,n.吨大量
5054,tone,n.音腔调声调音调语气品质色调vt.使更健壮装腔作势地说定调调色vi.调和(颜色)呈现悦目色调
5055,tongue,n.舌舌头舌状物语言口才v.舔用舌吹奏管乐器发音
5056,tonight,adv.在今夜n.今夜
5057,too,adv.也还太过分很
5058,tool,n.工具器具用具手段被利用者印压的图案vt.用工具加工vi.使用工具
5059,tooth,n.牙齿齿状物粗糙表面嗜好(复)teeth
5060,top,n.顶顶部首位adj.顶的最高的顶端的v.高过加顶高耸
5061,topic,n.题目论题话题
5062,torch,n.火炬火把手电筒纵火犯v.用火炬点燃
5063,torrent,n.奔流激流洪流山洪adj.奔流的汹涌的
5064,tortoise,n.龟乌龟
5065,torture,n.拷问折磨痛苦vt.拷打拷问使痛苦曲解
5066,toss,vt. &vi.扔抛掷投掷摇荡辗转n.投掷震荡
5067,total,adj.总的全体的完全的vi.合计总共n.总数合计
5068,touch,vt.触摸触动吃喝触及感动vi.接触联系n.触触觉接触少许痕迹修饰
5069,tough,adj.坚韧的健壮的强硬的艰苦的棘手的严厉的adv.以强硬的态度n.暴徒恶棍
5070,tour,n. &vi.旅行游历旅游周游观光巡回
5071,tourist,n.旅游者观光者
5072,tow,vt.&n.拖引，牵引
5073,toward,prep.向对于接近关于将近朝adj.有希望的有利的逼近的
5074,towards,prep.向朝关于adj.在即的有希望的=toward
5075,towel,n.毛巾手巾v.用毛巾擦
5076,tower,n.塔高楼vi.屹立高耸
5077,town,n.镇市镇城镇城市
5078,toy,n.玩具玩物adj.供玩耍的玩具的v.玩弄
5079,trace,n.痕迹踪迹微量丝毫vt.跟踪追踪找出根源描绘vi.追踪
5080,track,n.行踪踪迹路径轨道小路跑道惯例
5081,tract,"n.传单,小册子,大片(土地或森林)"
5082,tractor,n.拖拉机牵引车螺旋桨飞机
5083,trade,n.贸易交易买卖职业vi.交易进行交易做买卖交换adj.贸易的商业的
5084,tradition,n.传统惯例
5085,traditional,adj.传统的惯例的
5086,traffic,n.交通通行(人或车等)交通流量不正当生意(走私)v.做生意(多指违法的)游览
5087,tragedy,n.悲剧惨事惨案灾难
5088,tragic,a.悲剧性的，悲惨的
5089,trail,n.痕迹踪迹小径尾vt.跟踪追踪拖拽vi.拖尾随追踪落后于
5090,train,vt.培养训练培训n.列车火车队列行列一系列
5091,training,n.训练锻炼培养动词train的现在分词和动名词形式
5092,trait,n. 显著特点，特性
5093,traitor,n.叛徒卖国贼出卖朋友者
5094,tram,n.(有轨)电车矿车煤车缆车(复数)trams：有轨电车轨道vt.用缆车电车等运输
5095,tramp,n.流浪者游民重步声v.践踏重步行走
5096,transaction,n.处理；交易；和解
5097,transcend,"vt. 超越,胜过"
5098,transfer,vt.& vi.转移调动调转调任n.迁移移动换车
5099,transform,vt.改变改造变换转换变形vi.改变n.变形
5100,transformation,n.变化改造转变转型转化
5101,transformer,n.变压器转换器
5102,transient,"a.短暂的,转瞬即逝的,临时的,暂住的"
5103,transistor,n.晶体管晶体管收音机
5104,transit,n.运输 a.中转的，过境的
5105,transition,n.转变，变迁；过渡
5106,translate,vt.& vi.翻译译解释转移调动
5107,translation,n.翻译译文译本RNA的转录平移
5108,transmission,n.传送传动发射播送变速器传递的信息
5109,transmit,vt.传送传达发射传输代代相传vi.(以无线电或有线电的方式)发送信号
5110,transparent,adj.透明的易识破的明显的清晰的
5111,transplant,vt.&vi.移植，移种
5112,transport,vt.运输流放为强烈的情绪所激动n.运输、运输工具(常用复数)强烈的情绪(狂喜或狂怒)
5113,transportation,n.运输运送客运运输系统运输工具
5114,trap,n.陷阱诡计圈套困境双轮轻便马车vt.诱骗设圈套陷入(困境)
5115,travel,vt. &vi. &n.旅行传播移动
5116,traverse,vt.横越，横切，横断
5117,tray,n.(浅)盘托盘碟
5118,treason,n.谋反通敌叛国罪叛逆背叛
5119,treasure,n.财富珍宝vt.珍视
5120,treat,vt.对待处理治疗请客视为n.款待宴飨
5121,treatment,n.待遇对待处理治疗疗法
5122,treaty,n.条约协议协定
5123,tree,n.树树状物vt.把…赶上树使…走投无路
5124,tremble,vi.发抖哆嗦摇动战悚忧虑微动n.战悚颤抖
5125,tremendous,adj.极大的非常的巨大的惊人的
5126,trench,n.深沟；壕沟，战壕
